Soil_pH,Nitrogen,Phosphorus,Potassium,Moisture_Content_%,Temperature_C,Historical_Yield_kg_ha,Crop_Yield_kg_ha
6.0,67.4,42.7,36.4,33.1,26.3,3998.0,4283.9
8.3,51.3,40.6,75.3,39.8,35.0,5480.5,4712.7
7.43,96.8,27.6,89.6,26.0,13.8,4376.0,3484.6
6.89,29.7,45.5,77.3,19.5,13.9,1499.8,1150.4
5.12,62.9,23.6,37.7,29.2,26.7,2113.5,1942.8
5.12,73.0,24.6,66.9,48.9,38.4,2316.0,1830.5
4.73,84.3,61.8,52.7,7.0,22.4,2547.2,2316.8
7.96,46.6,30.7,72.9,28.8,19.8,4392.4,3887.8
6.9,71.8,8.9,22.2,19.8,28.2,4023.8,3589.2
7.33,37.3,30.8,61.1,9.7,37.9,2219.0,1733.3
4.58,49.2,52.9,71.9,24.6,35.1,1405.3,1143.3
8.38,90.6,66.0,70.9,33.9,39.9,2028.6,1324.1
7.83,95.5,77.1,87.1,28.8,10.7,6906.3,4954.7
5.35,74.7,61.0,14.7,6.3,13.4,3811.3,2841.4
5.23,43.7,37.2,37.7,31.1,28.3,6204.1,5713.8
5.23,83.8,27.4,48.1,15.4,34.6,6092.5,4712.0
5.72,12.3,14.7,34.8,20.4,18.6,4069.1,3635.3
6.6,19.2,52.1,34.8,19.0,17.2,5240.1,4141.9
6.23,69.5,43.2,24.1,43.6,33.6,2156.5,1917.7
5.66,36.2,55.8,75.0,7.1,11.7,5130.4,3533.7
6.95,95.6,22.8,82.6,20.7,21.1,2634.3,2326.0
5.06,49.2,29.3,16.6,22.8,25.2,5992.4,5705.9
5.67,48.6,26.9,22.4,32.8,26.8,1502.3,1373.5
5.97,71.0,64.8,28.3,40.5,31.9,5638.8,4944.1
6.32,79.1,17.8,50.7,37.7,20.6,1599.6,1572.7
7.64,52.8,50.6,73.3,38.9,28.4,6287.1,6647.5
5.3,29.3,8.9,15.7,13.7,27.6,2825.2,2623.8
6.56,79.6,46.2,60.9,46.0,26.4,4926.4,5099.8
6.87,38.8,9.8,21.9,23.6,29.2,3925.0,3552.2
4.69,25.8,18.2,87.7,5.5,17.8,3197.8,2476.1
6.93,66.8,13.5,81.9,35.1,12.5,4872.7,3614.1
5.18,18.1,31.0,86.0,32.2,13.6,6685.1,4810.0
4.76,97.4,30.8,18.5,10.7,16.7,1247.6,909.1
8.3,66.9,67.0,49.0,48.2,25.0,6513.1,6671.7
8.36,98.7,21.9,23.2,30.3,35.2,4654.5,3719.2
7.73,40.5,11.5,58.0,26.1,31.0,5843.9,5156.3
5.72,97.4,50.3,28.6,22.9,33.7,3303.2,3059.0
4.89,23.1,56.6,71.7,14.4,20.5,3831.1,3080.6
7.24,13.7,27.1,61.5,47.9,22.1,6213.1,6752.3
6.26,13.0,50.2,55.7,36.6,21.8,3489.1,3442.8
4.99,51.8,63.2,76.0,30.5,15.8,4208.0,3253.5
6.48,17.5,31.1,50.0,33.4,11.8,1121.2,951.8
4.64,56.1,44.4,31.6,42.8,27.7,1951.6,1816.5
8.14,39.5,16.0,59.7,33.6,39.7,4850.1,3250.5
5.54,40.2,6.8,86.6,10.2,15.0,5301.9,3898.4
7.15,67.2,78.6,58.1,36.4,11.4,4495.6,3330.4
5.75,24.7,27.5,60.4,30.4,33.4,1859.9,1728.6
6.58,79.0,25.9,84.8,48.5,17.6,3672.4,3365.0
6.69,62.4,78.0,51.2,38.0,34.9,3130.6,3002.9
5.24,92.3,59.6,89.7,20.5,31.1,3974.0,3416.1
8.38,42.8,48.9,22.8,11.1,38.4,6222.0,3981.6
7.6,98.4,57.4,53.0,26.7,22.3,5655.2,5132.9
8.26,61.8,58.2,27.0,35.6,29.9,1503.9,1314.7
8.08,97.6,62.3,46.3,13.0,23.9,6341.9,5702.7
6.89,12.4,10.0,23.6,34.2,28.9,3830.6,3758.3
8.19,75.5,36.0,27.8,42.2,23.5,5463.2,5026.2
4.85,83.5,27.1,26.9,12.1,15.7,1840.2,1509.5
5.28,14.8,10.3,35.6,36.8,25.2,5024.3,5286.1
4.68,62.1,35.9,20.8,8.1,25.9,2418.0,2096.5
5.8,82.2,51.2,74.7,5.4,34.3,3630.3,3110.5
6.05,60.5,18.4,27.7,6.5,32.1,1101.2,997.1
5.59,15.7,27.9,43.3,33.4,29.9,1909.7,1768.5
7.81,72.4,52.9,11.3,48.8,13.4,1552.5,1199.1
5.93,15.5,48.4,18.4,39.7,31.6,2438.5,2170.0
5.62,83.6,70.2,81.7,16.4,25.0,1600.1,1731.7
6.67,13.9,64.3,77.0,8.2,36.8,5151.5,3841.7
5.06,22.4,77.4,77.3,32.7,37.6,1174.2,855.8
7.71,34.8,49.8,42.9,5.1,11.7,4706.4,3059.9
4.8,67.0,57.4,21.3,40.7,34.6,1844.2,1458.8
8.45,97.9,69.5,18.6,15.9,11.1,6671.0,4199.9
7.59,20.6,68.0,58.4,18.5,21.0,6598.6,5788.2
5.29,22.8,58.9,76.3,20.5,26.3,2353.0,2211.4
4.52,43.2,42.5,82.0,39.4,14.4,4686.5,3471.2
7.76,85.3,25.5,33.1,17.0,32.4,1168.0,893.9
7.33,52.1,70.8,35.7,17.8,10.3,6590.7,4695.3
7.42,38.9,63.2,18.1,29.3,15.1,4137.9,3598.9
7.59,60.5,67.8,72.0,25.8,27.4,1259.3,1183.0
4.8,33.4,15.6,32.1,48.0,31.4,3055.0,2504.5
5.93,46.1,28.6,48.5,16.9,37.5,1461.1,1054.1
4.96,39.9,36.9,84.3,9.1,31.2,3357.7,3000.8
7.95,82.4,67.9,70.2,29.3,30.2,5019.6,4586.8
6.99,93.2,72.0,14.2,13.3,21.8,3819.3,3377.0
5.82,78.4,26.4,10.7,23.6,10.0,3302.3,2433.4
4.75,49.5,56.5,73.0,13.4,13.6,1714.9,1175.9
5.74,55.4,10.8,54.2,44.6,26.0,2469.6,2317.4
5.8,21.3,35.7,67.6,19.7,30.3,1600.9,1367.4
7.42,77.2,41.5,22.5,39.9,22.5,5845.0,5384.6
7.05,63.7,62.4,79.8,47.7,31.9,1811.4,1748.6
8.05,91.2,71.9,71.9,47.3,25.7,4572.2,4714.8
6.39,28.1,30.3,81.3,28.6,12.2,3056.4,2515.4
4.98,78.4,44.6,37.3,49.2,15.8,2355.9,1985.1
7.35,71.6,53.6,32.1,34.5,35.2,4836.8,3927.6
7.54,33.9,29.7,22.1,10.8,31.7,3742.0,3117.9
